,Description,ASIN,Product Description,Manufacturer
32,"   Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage    Right sized with sturdy stitching; Dimension: (28.2 cm x 14.1 cm x 42.2 cm); Warranty: 750 days international warranty    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)    Padded laptop compartment fits up to 14”, Back padding with Air mesh; Front access pocket for you to easily carry important small items with two bottle holders on the sides    
",B0BWNCV31F," 
",Acefour Accessories Pvt. Ltd.
33,"   Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material, Wrinkle free bag and 3x more water resistant with Rainproof zippers    
",B0B81YTTWS," 
",Acefour Accessories Pvt. Ltd.
34,"   Laptop Compatibility: No, Strap Type: Adjustable    Outer Material: Polyester, Color: Blue    Water Resistance: Water resistant, Capacity: 29 liters; Dimensions: 33 x 51 x 22 cms (LxHxW)    Number of Wheels: 0, Number of compartments: 3    Mesh Padding on back & shoulder strap to provide comfort & better back support    
",Samsonite," 
",: ‎ 18 April 2018
35,"   Capacity: 25 liters, Weight: 800 grams, Dimensions: 31 x 18 x 44 cm (L x W x H)    
",Uber Fashion Merchandise Pvt. Ltd.," 
 A fashionable laptop backpack. This full-featured pack makes space for everything essential with multiple zip pockets on the exterior, plus a ready-to-go interior with padded laptop compartment and other storage solutions. Pattern: Solid. Laptop Size: 16  ",: ‎ 15 September 2015
36,"   Material: Water Resistant Strong Polyester    Compartments: 2 with padding    Laptop Size: 15.6 inch and below    Dimensions: LxWxH - 11 x 6 x 18 inches    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders / Padded Top Handle / Rain Cover    
",B0BPVCBFM7,unknown,ADISA
37,"   Made of multi-coated 600D polyester Material ; Water Repellent    Dimension: 38cm x 26cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters    Small Size backpack; Laptop Compatibility: No    This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more    With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books    6 months limited warranty    
› See more product details ",unknown,unknown,unknown
38,"   Fit Type: Relaxed    SMART & TRENDY LOOKS: This Large 81 x 32 x 27 Cm rucksack bag is smart, trendy and stylish in looks. The multipurpose rucksack backpack for men and women looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. A premium travel backpack with spacious shoe compartment for a pair of shoes.    ENDURING & LONG LASTING: This trekking backpack bag is made up of highly durable material, which makes it suitable for all weather conditions including heavy rains and extreme scorching heat. Perfect for tourists on long travels, our spacious tour bag    INTEGRATED RAIN COVER: Our backpacks are ideal for travelling adventurers who encounter different weather conditions. The waterproof integrated rain cover and water-resistant fabric provide long-lasting protection for your gear. Stay prepared for any weather condition with our reliable backpacks.    1 YEAR WARRANTY : Invest in this versatile bag with a 1-year manufacturer warranty, perfect for flight travel, backpackers, and bike riders alike. Enjoy peace of mind knowing your belongings are protected..    
",B0847PGZZM," 
 The TRAWOC 80L backpack is perfect for any adventure! This unisex travelling bag is designed for trekking, hiking, and camping, with a premium padded shoulder strap and mesh padding for maximum comfort. The padded back panel ensures breathability during extended wear. This backpack features a premium buckle and YKK zipper for added durability, making it the perfect mountain bag or camping rucksack. The front opening provides easy access to your gear, and the integrated rain cover keeps your belongings dry during inclement weather. This large backpack is suitable for men, women, boys, and girls, and can be used as a biker backpack or riding backpack. It has a Luggage/suitcase-type opening, which makes packing and unpacking a breeze. The back padding ensures that it's comfortable to wear for long periods of time, making it perfect for touring or flight travel. The TRAWOC backpack is perfect for daypack use, with excess storage capacity and weight-bearing capacity too. It's available in a variety of colors and sizes, making it suitable for any adventure or occasion. The 1-year warranty ensures that you'll be able to enjoy your backpack for years to come. Whether you're a tourist, tourister, or outdoor enthusiast, this big bag is perfect for you. It's a must-have for anyone who loves adventure and wants to travel in style and comfort. So, get your TRAWOC backpack today and start your next adventure!  ",TRAWOC
39,"   ERGONOMIC DESIGN: This ergonomic bag features zippered security pockets in the front, back and main compartment. The front pockets can be used to hold personal items like identification cards, keys and more while the extra pocket located in the back can be used for the storage of sleek items like mobile devices. The main storage pocket also has enough room to hold your gadgets, small water bottle cables, chargers etc. This bag can fit tablets and devices with screen sizes of up to 10.5.<br>    WATER, DIRT & SLASH RESISTANT: This cross body bag by Dein Kleider is ideal for people who are adventurous and always on the go. Its padded storage is resistant to water, dirt and even a slash by sharp objects, so you dont have to worry about anything. This bag is durable and heavy duty, ensuring that your gadgets and valuables are safely stored.<br>    CRAFTED IN INDIA: Dein Kleider cross body sling is crafted with perfection by professional Indian artisans in an elegant style that makes your presence truly class apart. Its an ideal companion for a comfortable all day carry to school/college, malls, morning walk, office and meetings. It can also be easily used as travel accessory for a train or bus journey.<br>    Outer Material Type: Nylon    
",: ‎ DK01CSP-HYP," 
 Spacious and convenient, ideal for use as Messenger Bag.perfect product from DEIN KLEIDER for storing in your Objects to take with you for extra storage.  ",B084ZHP97M
40,"   Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend.    Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls    Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.    Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit.    Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only.    
",B07QN4KXWG," 
",AirCase
41,"   Strong stitching at major stress points provide long-lasting durability against daily activities    Mesh side water bottle pocket. Adjustable shoulder strap.    Main large compartment with double zip closure. Tough high durability fabric    High quality double zippers, easy to access. Highly water-resistant finish to save inner items from water splashes    Comes in attractive color combinations.    
",unknown,unknown,unknown
42,"   ? PREMIUM MATERIAL: Made from high quality, waterproof hard EVA material. Premium quality smooth zippers, pullers, buckles.;Special Features: Locking; Style Name: Modern<br>    ? ORGANISED DESIGN: This backpack has one roomy spaced compartment with built in soft padded sleeve to protect laptops upto 16 inch. Separate sleeve for tablet/ Ipad. Spacious enough to hold your clothings, folders, documents etc. Also includes organised pockets to hold electronic diary, power bank, pens. mobile etc. Soft handle for better comfort. Adjustable and padded shoulder straps make it comfortable during use.<br>    ? ANTI- THEFT DESIGN & CAPACITY: One hidden zipper pocket equips on the back to pack your money, cards, wallet. This invisible design increases the security of your belongings. Dimensions: 30 cms x 8 cms x 45 cms (LxWxH). Capacity: 11 Lit<br>    ? USB FEATURE & TSA LOCK : External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices. This backpack comes with a built-in TSA lock that gives the bag an added level of security. Helps deter thefts during travel.; ? TROLLEY STRAP : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling.; Age Range Description: Adult; Pattern Name: Solid; Theme: Sports<br>    Impact-resistant design. ID pouch, Mobile phone pouch. Zipper hidden pouch, Laptop slot, and Tablet slot. USB Charging slot on the outside. Shape-retaining construction. Water-resistant fabric. Premium leather zipper pulls. Top carry handle with leather grip. Air mesh back padding. Adjustable padded shoulder straps with metallic buckle and leather accents.<br>    
",B09ZYMT7V1," 
",Encon Impex Pvt Ltd
